Deutsch;Englisch;Kategorie
GelenkUntersuchung;joint examination;Gesundheit & Körper
GelenkBehandlung;joint treatment;Gesundheit & Körper
GelenkPflege;joint care;Gesundheit & Körper
GelenkMittel;joint remedy;Gesundheit & Körper
GelenkSalbe;joint ointment;Gesundheit & Körper
GelenkVerband;joint bandage;Gesundheit & Körper
GelenkSymptom;joint symptom;Gesundheit & Körper
HerzSchmerz;heart pain;Gesundheit & Körper
HerzVerletzung;heart injury;Gesundheit & Körper
HerzEntzündung;heart inflammation;Gesundheit & Körper
HerzProblem;heart problem;Gesundheit & Körper
HerzKontrolle;heart check;Gesundheit & Körper
HerzUntersuchung;heart examination;Gesundheit & Körper
HerzBehandlung;heart treatment;Gesundheit & Körper
HerzPflege;heart care;Gesundheit & Körper
HerzMittel;heart remedy;Gesundheit & Körper
HerzSalbe;heart ointment;Gesundheit & Körper
HerzVerband;heart bandage;Gesundheit & Körper
HerzSymptom;heart symptom;Gesundheit & Körper
ArztTermin;doctor appointment;Gesundheit & Körper
ArztBericht;doctor report;Gesundheit & Körper
ArztKarte;doctor card;Gesundheit & Körper
ArztNummer;doctor number;Gesundheit & Körper
ArztKosten;doctor costs;Gesundheit & Körper
ArztRechnung;doctor invoice;Gesundheit & Körper
ArztFormular;doctor form;Gesundheit & Körper
ArztDosis;doctor dose;Gesundheit & Körper
ArztListe;doctor list;Gesundheit & Körper
ArztPlan;doctor plan;Gesundheit & Körper
ArztZimmer;doctor room;Gesundheit & Körper
ArztBett;doctor bed;Gesundheit & Körper
SpitalTermin;hospital appointment;Gesundheit & Körper
SpitalBericht;hospital report;Gesundheit & Körper
SpitalKarte;hospital card;Gesundheit & Körper
SpitalNummer;hospital number;Gesundheit & Körper
SpitalKosten;hospital costs;Gesundheit & Körper
SpitalRechnung;hospital invoice;Gesundheit & Körper
SpitalFormular;hospital form;Gesundheit & Körper
SpitalDosis;hospital dose;Gesundheit & Körper
SpitalListe;hospital list;Gesundheit & Körper
SpitalPlan;hospital plan;Gesundheit & Körper
SpitalZimmer;hospital room;Gesundheit & Körper
SpitalBett;hospital bed;Gesundheit & Körper
NotfallTermin;emergency appointment;Gesundheit & Körper
NotfallBericht;emergency report;Gesundheit & Körper
NotfallKarte;emergency card;Gesundheit & Körper
NotfallNummer;emergency number;Gesundheit & Körper
NotfallKosten;emergency costs;Gesundheit & Körper
NotfallRechnung;emergency invoice;Gesundheit & Körper
NotfallFormular;emergency form;Gesundheit & Körper
NotfallDosis;emergency dose;Gesundheit & Körper
NotfallListe;emergency list;Gesundheit & Körper
NotfallPlan;emergency plan;Gesundheit & Körper
NotfallZimmer;emergency room;Gesundheit & Körper
NotfallBett;emergency bed;Gesundheit & Körper
ApothekenTermin;pharmacy appointment;Gesundheit & Körper
ApothekenBericht;pharmacy report;Gesundheit & Körper
ApothekenKarte;pharmacy card;Gesundheit & Körper
ApothekenNummer;pharmacy number;Gesundheit & Körper
ApothekenKosten;pharmacy costs;Gesundheit & Körper
ApothekenRechnung;pharmacy invoice;Gesundheit & Körper
ApothekenFormular;pharmacy form;Gesundheit & Körper
ApothekenDosis;pharmacy dose;Gesundheit & Körper
ApothekenListe;pharmacy list;Gesundheit & Körper
ApothekenPlan;pharmacy plan;Gesundheit & Körper
ApothekenZimmer;pharmacy room;Gesundheit & Körper
ApothekenBett;pharmacy bed;Gesundheit & Körper
MedikamentenTermin;medicine appointment;Gesundheit & Körper
MedikamentenBericht;medicine report;Gesundheit & Körper
MedikamentenKarte;medicine card;Gesundheit & Körper
MedikamentenNummer;medicine number;Gesundheit & Körper
Kleidung;clothing;Kleidung & Aussehen
Kleid;dress;Kleidung & Aussehen
Hemd;shirt;Kleidung & Aussehen
T-Shirt;T-shirt;Kleidung & Aussehen
Bluse;blouse;Kleidung & Aussehen
Pullover;jumper;Kleidung & Aussehen
Jacke;jacket;Kleidung & Aussehen
Mantel;coat;Kleidung & Aussehen
Hose;trousers;Kleidung & Aussehen
Jeans;jeans;Kleidung & Aussehen
Rock;skirt;Kleidung & Aussehen
Anzug;suit;Kleidung & Aussehen
Krawatte;tie;Kleidung & Aussehen
Gürtel;belt;Kleidung & Aussehen
Unterwäsche;underwear;Kleidung & Aussehen
Socke;sock;Kleidung & Aussehen
Schuh;shoe;Kleidung & Aussehen
Stiefel;boot;Kleidung & Aussehen
Sandale;sandal;Kleidung & Aussehen
Turnschuh;trainer;Kleidung & Aussehen
Hausschuh;slipper;Kleidung & Aussehen
Hut;hat;Kleidung & Aussehen
Mütze;cap;Kleidung & Aussehen
Schal;scarf;Kleidung & Aussehen
Handschuh;glove;Kleidung & Aussehen
Tasche;bag;Kleidung & Aussehen
Rucksack;backpack;Kleidung & Aussehen
Portemonnaie;wallet;Kleidung & Aussehen
Brille;glasses;Kleidung & Aussehen
Sonnenbrille;sunglasses;Kleidung & Aussehen
Uhr;watch;Kleidung & Aussehen
Schmuck;jewellery;Kleidung & Aussehen
Ring;ring;Kleidung & Aussehen
Kette;necklace;Kleidung & Aussehen
Ohrring;earring;Kleidung & Aussehen
Armband;bracelet;Kleidung & Aussehen
Grösse;size;Kleidung & Aussehen
Farbe;colour;Kleidung & Aussehen
Stoff;fabric;Kleidung & Aussehen
Baumwolle;cotton;Kleidung & Aussehen
Wolle;wool;Kleidung & Aussehen
Leder;leather;Kleidung & Aussehen
Reissverschluss;zipper;Kleidung & Aussehen
Knopf;button;Kleidung & Aussehen
Tasche;pocket;Kleidung & Aussehen
Ärmel;sleeve;Kleidung & Aussehen
Kragen;collar;Kleidung & Aussehen
Saum;hem;Kleidung & Aussehen
Falte;crease;Kleidung & Aussehen
Fleck;stain;Kleidung & Aussehen
Loch;hole;Kleidung & Aussehen
Muster;pattern;Kleidung & Aussehen
Streifen;stripe;Kleidung & Aussehen
Punkt;dot;Kleidung & Aussehen
Aussehen;appearance;Kleidung & Aussehen
Gesicht;face;Kleidung & Aussehen
Haar;hair;Kleidung & Aussehen
Frisur;hairstyle;Kleidung & Aussehen
Bart;beard;Kleidung & Aussehen
gross;tall;Kleidung & Aussehen
klein;short;Kleidung & Aussehen
schlank;slim;Kleidung & Aussehen
kräftig;strong;Kleidung & Aussehen
hübsch;pretty;Kleidung & Aussehen
gepflegt;well-groomed;Kleidung & Aussehen
HemdGrösse;shirt size;Kleidung & Aussehen
HemdFarbe;shirt colour;Kleidung & Aussehen
HemdStoff;shirt fabric;Kleidung & Aussehen
HemdSchnitt;shirt cut;Kleidung & Aussehen
HemdTasche;shirt pocket;Kleidung & Aussehen
HemdKnopf;shirt button;Kleidung & Aussehen
HemdReissverschluss;shirt zipper;Kleidung & Aussehen
HemdÄrmel;shirt sleeve;Kleidung & Aussehen
HemdKragen;shirt collar;Kleidung & Aussehen
HemdSaum;shirt hem;Kleidung & Aussehen
HemdFutter;shirt lining;Kleidung & Aussehen
HemdMuster;shirt pattern;Kleidung & Aussehen
HemdPreis;shirt price;Kleidung & Aussehen
HemdMarke;shirt brand;Kleidung & Aussehen
HosenGrösse;trouser size;Kleidung & Aussehen
HosenFarbe;trouser colour;Kleidung & Aussehen
HosenStoff;trouser fabric;Kleidung & Aussehen
HosenSchnitt;trouser cut;Kleidung & Aussehen
HosenTasche;trouser pocket;Kleidung & Aussehen
HosenKnopf;trouser button;Kleidung & Aussehen
HosenReissverschluss;trouser zipper;Kleidung & Aussehen
HosenÄrmel;trouser sleeve;Kleidung & Aussehen
HosenKragen;trouser collar;Kleidung & Aussehen
HosenSaum;trouser hem;Kleidung & Aussehen
HosenFutter;trouser lining;Kleidung & Aussehen
HosenMuster;trouser pattern;Kleidung & Aussehen
HosenPreis;trouser price;Kleidung & Aussehen
HosenMarke;trouser brand;Kleidung & Aussehen
JackenGrösse;jacket size;Kleidung & Aussehen
JackenFarbe;jacket colour;Kleidung & Aussehen
JackenStoff;jacket fabric;Kleidung & Aussehen
JackenSchnitt;jacket cut;Kleidung & Aussehen
JackenTasche;jacket pocket;Kleidung & Aussehen
JackenKnopf;jacket button;Kleidung & Aussehen
JackenReissverschluss;jacket zipper;Kleidung & Aussehen
JackenÄrmel;jacket sleeve;Kleidung & Aussehen
JackenKragen;jacket collar;Kleidung & Aussehen
JackenSaum;jacket hem;Kleidung & Aussehen
JackenFutter;jacket lining;Kleidung & Aussehen
JackenMuster;jacket pattern;Kleidung & Aussehen
JackenPreis;jacket price;Kleidung & Aussehen
JackenMarke;jacket brand;Kleidung & Aussehen
SchuhGrösse;shoe size;Kleidung & Aussehen
SchuhFarbe;shoe colour;Kleidung & Aussehen
SchuhStoff;shoe fabric;Kleidung & Aussehen
SchuhSchnitt;shoe cut;Kleidung & Aussehen
SchuhTasche;shoe pocket;Kleidung & Aussehen
SchuhKnopf;shoe button;Kleidung & Aussehen
SchuhReissverschluss;shoe zipper;Kleidung & Aussehen
SchuhÄrmel;shoe sleeve;Kleidung & Aussehen
SchuhKragen;shoe collar;Kleidung & Aussehen
SchuhSaum;shoe hem;Kleidung & Aussehen
SchuhFutter;shoe lining;Kleidung & Aussehen
SchuhMuster;shoe pattern;Kleidung & Aussehen
SchuhPreis;shoe price;Kleidung & Aussehen
SchuhMarke;shoe brand;Kleidung & Aussehen
MantelGrösse;coat size;Kleidung & Aussehen
MantelFarbe;coat colour;Kleidung & Aussehen
MantelStoff;coat fabric;Kleidung & Aussehen
MantelSchnitt;coat cut;Kleidung & Aussehen
MantelTasche;coat pocket;Kleidung & Aussehen
MantelKnopf;coat button;Kleidung & Aussehen
MantelReissverschluss;coat zipper;Kleidung & Aussehen
MantelÄrmel;coat sleeve;Kleidung & Aussehen
MantelKragen;coat collar;Kleidung & Aussehen
MantelSaum;coat hem;Kleidung & Aussehen
MantelFutter;coat lining;Kleidung & Aussehen
MantelMuster;coat pattern;Kleidung & Aussehen
MantelPreis;coat price;Kleidung & Aussehen
MantelMarke;coat brand;Kleidung & Aussehen
PulloverGrösse;jumper size;Kleidung & Aussehen
PulloverFarbe;jumper colour;Kleidung & Aussehen
PulloverStoff;jumper fabric;Kleidung & Aussehen
PulloverSchnitt;jumper cut;Kleidung & Aussehen
PulloverTasche;jumper pocket;Kleidung & Aussehen
PulloverKnopf;jumper button;Kleidung & Aussehen
PulloverReissverschluss;jumper zipper;Kleidung & Aussehen
PulloverÄrmel;jumper sleeve;Kleidung & Aussehen
PulloverKragen;jumper collar;Kleidung & Aussehen
PulloverSaum;jumper hem;Kleidung & Aussehen
PulloverFutter;jumper lining;Kleidung & Aussehen
PulloverMuster;jumper pattern;Kleidung & Aussehen
PulloverPreis;jumper price;Kleidung & Aussehen
PulloverMarke;jumper brand;Kleidung & Aussehen
KleidGrösse;dress size;Kleidung & Aussehen
KleidFarbe;dress colour;Kleidung & Aussehen
KleidStoff;dress fabric;Kleidung & Aussehen
KleidSchnitt;dress cut;Kleidung & Aussehen
KleidTasche;dress pocket;Kleidung & Aussehen
KleidKnopf;dress button;Kleidung & Aussehen
KleidReissverschluss;dress zipper;Kleidung & Aussehen
KleidÄrmel;dress sleeve;Kleidung & Aussehen
KleidKragen;dress collar;Kleidung & Aussehen
KleidSaum;dress hem;Kleidung & Aussehen
KleidFutter;dress lining;Kleidung & Aussehen
KleidMuster;dress pattern;Kleidung & Aussehen
KleidPreis;dress price;Kleidung & Aussehen
KleidMarke;dress brand;Kleidung & Aussehen
RockGrösse;skirt size;Kleidung & Aussehen
RockFarbe;skirt colour;Kleidung & Aussehen
RockStoff;skirt fabric;Kleidung & Aussehen
RockSchnitt;skirt cut;Kleidung & Aussehen
RockTasche;skirt pocket;Kleidung & Aussehen
RockKnopf;skirt button;Kleidung & Aussehen
RockReissverschluss;skirt zipper;Kleidung & Aussehen
RockÄrmel;skirt sleeve;Kleidung & Aussehen
RockKragen;skirt collar;Kleidung & Aussehen
RockSaum;skirt hem;Kleidung & Aussehen
RockFutter;skirt lining;Kleidung & Aussehen
RockMuster;skirt pattern;Kleidung & Aussehen
RockPreis;skirt price;Kleidung & Aussehen
RockMarke;skirt brand;Kleidung & Aussehen
TaschenGrösse;bag size;Kleidung & Aussehen
TaschenFarbe;bag colour;Kleidung & Aussehen
TaschenStoff;bag fabric;Kleidung & Aussehen
TaschenSchnitt;bag cut;Kleidung & Aussehen
TaschenTasche;bag pocket;Kleidung & Aussehen
TaschenKnopf;bag button;Kleidung & Aussehen
TaschenReissverschluss;bag zipper;Kleidung & Aussehen
TaschenÄrmel;bag sleeve;Kleidung & Aussehen
TaschenKragen;bag collar;Kleidung & Aussehen
TaschenSaum;bag hem;Kleidung & Aussehen
TaschenFutter;bag lining;Kleidung & Aussehen
TaschenMuster;bag pattern;Kleidung & Aussehen
TaschenPreis;bag price;Kleidung & Aussehen
TaschenMarke;bag brand;Kleidung & Aussehen
MützenGrösse;cap size;Kleidung & Aussehen
MützenFarbe;cap colour;Kleidung & Aussehen
MützenStoff;cap fabric;Kleidung & Aussehen
MützenSchnitt;cap cut;Kleidung & Aussehen
MützenTasche;cap pocket;Kleidung & Aussehen
MützenKnopf;cap button;Kleidung & Aussehen
MützenReissverschluss;cap zipper;Kleidung & Aussehen
MützenÄrmel;cap sleeve;Kleidung & Aussehen
MützenKragen;cap collar;Kleidung & Aussehen
MützenSaum;cap hem;Kleidung & Aussehen
MützenFutter;cap lining;Kleidung & Aussehen
MützenMuster;cap pattern;Kleidung & Aussehen
MützenPreis;cap price;Kleidung & Aussehen
MützenMarke;cap brand;Kleidung & Aussehen
HandschuhGrösse;glove size;Kleidung & Aussehen
HandschuhFarbe;glove colour;Kleidung & Aussehen
HandschuhStoff;glove fabric;Kleidung & Aussehen
HandschuhSchnitt;glove cut;Kleidung & Aussehen
HandschuhTasche;glove pocket;Kleidung & Aussehen
HandschuhKnopf;glove button;Kleidung & Aussehen
HandschuhReissverschluss;glove zipper;Kleidung & Aussehen
HandschuhÄrmel;glove sleeve;Kleidung & Aussehen
HandschuhKragen;glove collar;Kleidung & Aussehen
HandschuhSaum;glove hem;Kleidung & Aussehen
HandschuhFutter;glove lining;Kleidung & Aussehen
HandschuhMuster;glove pattern;Kleidung & Aussehen
HandschuhPreis;glove price;Kleidung & Aussehen
HandschuhMarke;glove brand;Kleidung & Aussehen
SockenGrösse;sock size;Kleidung & Aussehen
SockenFarbe;sock colour;Kleidung & Aussehen
SockenStoff;sock fabric;Kleidung & Aussehen
SockenSchnitt;sock cut;Kleidung & Aussehen
SockenTasche;sock pocket;Kleidung & Aussehen
SockenKnopf;sock button;Kleidung & Aussehen
SockenReissverschluss;sock zipper;Kleidung & Aussehen
SockenÄrmel;sock sleeve;Kleidung & Aussehen
SockenKragen;sock collar;Kleidung & Aussehen
SockenSaum;sock hem;Kleidung & Aussehen
SockenFutter;sock lining;Kleidung & Aussehen
SockenMuster;sock pattern;Kleidung & Aussehen
SockenPreis;sock price;Kleidung & Aussehen
SockenMarke;sock brand;Kleidung & Aussehen
SchwarzHemd;black shirt;Kleidung & Aussehen
SchwarzHose;black trousers;Kleidung & Aussehen
SchwarzJacke;black jacket;Kleidung & Aussehen
SchwarzSchuhe;black shoes;Kleidung & Aussehen
SchwarzMantel;black coat;Kleidung & Aussehen
SchwarzPullover;black jumper;Kleidung & Aussehen
SchwarzKleid;black dress;Kleidung & Aussehen
SchwarzRock;black skirt;Kleidung & Aussehen
SchwarzMütze;black cap;Kleidung & Aussehen
SchwarzTasche;black bag;Kleidung & Aussehen
WeissHemd;white shirt;Kleidung & Aussehen
WeissHose;white trousers;Kleidung & Aussehen
WeissJacke;white jacket;Kleidung & Aussehen
WeissSchuhe;white shoes;Kleidung & Aussehen
WeissMantel;white coat;Kleidung & Aussehen
WeissPullover;white jumper;Kleidung & Aussehen
WeissKleid;white dress;Kleidung & Aussehen
WeissRock;white skirt;Kleidung & Aussehen
WeissMütze;white cap;Kleidung & Aussehen
WeissTasche;white bag;Kleidung & Aussehen
GrauHemd;grey shirt;Kleidung & Aussehen
GrauHose;grey trousers;Kleidung & Aussehen
GrauJacke;grey jacket;Kleidung & Aussehen
GrauSchuhe;grey shoes;Kleidung & Aussehen
GrauMantel;grey coat;Kleidung & Aussehen
GrauPullover;grey jumper;Kleidung & Aussehen
GrauKleid;grey dress;Kleidung & Aussehen
GrauRock;grey skirt;Kleidung & Aussehen
GrauMütze;grey cap;Kleidung & Aussehen
GrauTasche;grey bag;Kleidung & Aussehen
BlauHemd;blue shirt;Kleidung & Aussehen
BlauHose;blue trousers;Kleidung & Aussehen
BlauJacke;blue jacket;Kleidung & Aussehen
BlauSchuhe;blue shoes;Kleidung & Aussehen
BlauMantel;blue coat;Kleidung & Aussehen
BlauPullover;blue jumper;Kleidung & Aussehen
BlauKleid;blue dress;Kleidung & Aussehen
BlauRock;blue skirt;Kleidung & Aussehen
BlauMütze;blue cap;Kleidung & Aussehen
BlauTasche;blue bag;Kleidung & Aussehen
RotHemd;red shirt;Kleidung & Aussehen
RotHose;red trousers;Kleidung & Aussehen
RotJacke;red jacket;Kleidung & Aussehen
RotSchuhe;red shoes;Kleidung & Aussehen
RotMantel;red coat;Kleidung & Aussehen
RotPullover;red jumper;Kleidung & Aussehen
RotKleid;red dress;Kleidung & Aussehen
RotRock;red skirt;Kleidung & Aussehen
RotMütze;red cap;Kleidung & Aussehen
RotTasche;red bag;Kleidung & Aussehen
GrünHemd;green shirt;Kleidung & Aussehen
GrünHose;green trousers;Kleidung & Aussehen
GrünJacke;green jacket;Kleidung & Aussehen
GrünSchuhe;green shoes;Kleidung & Aussehen
GrünMantel;green coat;Kleidung & Aussehen
GrünPullover;green jumper;Kleidung & Aussehen
GrünKleid;green dress;Kleidung & Aussehen
GrünRock;green skirt;Kleidung & Aussehen
GrünMütze;green cap;Kleidung & Aussehen
GrünTasche;green bag;Kleidung & Aussehen
GelbHemd;yellow shirt;Kleidung & Aussehen
GelbHose;yellow trousers;Kleidung & Aussehen
GelbJacke;yellow jacket;Kleidung & Aussehen
GelbSchuhe;yellow shoes;Kleidung & Aussehen
GelbMantel;yellow coat;Kleidung & Aussehen
GelbPullover;yellow jumper;Kleidung & Aussehen
GelbKleid;yellow dress;Kleidung & Aussehen
Zeit;time;Zeit & Kalender
Uhr;clock;Zeit & Kalender
Uhrzeit;time of day;Zeit & Kalender
Minute;minute;Zeit & Kalender
Stunde;hour;Zeit & Kalender
Tag;day;Zeit & Kalender
Woche;week;Zeit & Kalender
Monat;month;Zeit & Kalender
Jahr;year;Zeit & Kalender
Morgen;morning;Zeit & Kalender
Mittag;noon;Zeit & Kalender
Nachmittag;afternoon;Zeit & Kalender
Abend;evening;Zeit & Kalender
Nacht;night;Zeit & Kalender
Mitternacht;midnight;Zeit & Kalender
Montag;Monday;Zeit & Kalender
Dienstag;Tuesday;Zeit & Kalender
Mittwoch;Wednesday;Zeit & Kalender
Donnerstag;Thursday;Zeit & Kalender
Freitag;Friday;Zeit & Kalender
Samstag;Saturday;Zeit & Kalender
Sonntag;Sunday;Zeit & Kalender
Januar;January;Zeit & Kalender
Februar;February;Zeit & Kalender
März;March;Zeit & Kalender
April;April;Zeit & Kalender
Mai;May;Zeit & Kalender
Juni;June;Zeit & Kalender
Juli;July;Zeit & Kalender
August;August;Zeit & Kalender
September;September;Zeit & Kalender
Oktober;October;Zeit & Kalender
November;November;Zeit & Kalender
Dezember;December;Zeit & Kalender
Frühling;spring;Zeit & Kalender
Sommer;summer;Zeit & Kalender
Herbst;autumn;Zeit & Kalender
Winter;winter;Zeit & Kalender
Kalender;calendar;Zeit & Kalender
Termin;appointment;Zeit & Kalender
Datum;date;Zeit & Kalender
Frist;deadline;Zeit & Kalender
Dauer;duration;Zeit & Kalender
Beginn;beginning;Zeit & Kalender
Ende;end;Zeit & Kalender
Start;start;Zeit & Kalender
Pause;break;Zeit & Kalender
Moment;moment;Zeit & Kalender
Augenblick;instant;Zeit & Kalender
Vergangenheit;past;Zeit & Kalender
Gegenwart;present;Zeit & Kalender
Zukunft;future;Zeit & Kalender
heute;today;Zeit & Kalender
gestern;yesterday;Zeit & Kalender
morgen;tomorrow;Zeit & Kalender
vorgestern;the day before yesterday;Zeit & Kalender
übermorgen;the day after tomorrow;Zeit & Kalender
wöchentlich;weekly;Zeit & Kalender
monatlich;monthly;Zeit & Kalender
jährlich;yearly;Zeit & Kalender
täglich;daily;Zeit & Kalender
pünktlich;punctual;Zeit & Kalender
verspätet;late;Zeit & Kalender
frühzeitig;early;Zeit & Kalender
TagesPlan;daily plan;Zeit & Kalender
TagesTermin;daily appointment;Zeit & Kalender
TagesKalender;daily calendar;Zeit & Kalender
TagesBeginn;daily start;Zeit & Kalender
TagesEnde;daily end;Zeit & Kalender
TagesDauer;daily duration;Zeit & Kalender
TagesFrist;daily deadline;Zeit & Kalender
TagesRhythmus;daily rhythm;Zeit & Kalender
TagesÜbersicht;daily overview;Zeit & Kalender
TagesListe;daily list;Zeit & Kalender
TagesZeit;daily time;Zeit & Kalender
TagesPause;daily break;Zeit & Kalender
TagesProgramm;daily programme;Zeit & Kalender
TagesDatum;daily date;Zeit & Kalender
TagesFenster;daily window;Zeit & Kalender
WochenPlan;weekly plan;Zeit & Kalender
WochenTermin;weekly appointment;Zeit & Kalender
WochenKalender;weekly calendar;Zeit & Kalender
WochenBeginn;weekly start;Zeit & Kalender
WochenEnde;weekly end;Zeit & Kalender
WochenDauer;weekly duration;Zeit & Kalender
WochenFrist;weekly deadline;Zeit & Kalender
WochenRhythmus;weekly rhythm;Zeit & Kalender
WochenÜbersicht;weekly overview;Zeit & Kalender
WochenListe;weekly list;Zeit & Kalender
WochenZeit;weekly time;Zeit & Kalender
WochenPause;weekly break;Zeit & Kalender
WochenProgramm;weekly programme;Zeit & Kalender
WochenDatum;weekly date;Zeit & Kalender
WochenFenster;weekly window;Zeit & Kalender
MonatsPlan;monthly plan;Zeit & Kalender
MonatsTermin;monthly appointment;Zeit & Kalender
MonatsKalender;monthly calendar;Zeit & Kalender
MonatsBeginn;monthly start;Zeit & Kalender
MonatsEnde;monthly end;Zeit & Kalender
MonatsDauer;monthly duration;Zeit & Kalender
MonatsFrist;monthly deadline;Zeit & Kalender
MonatsRhythmus;monthly rhythm;Zeit & Kalender
MonatsÜbersicht;monthly overview;Zeit & Kalender
MonatsListe;monthly list;Zeit & Kalender
MonatsZeit;monthly time;Zeit & Kalender
MonatsPause;monthly break;Zeit & Kalender
MonatsProgramm;monthly programme;Zeit & Kalender
MonatsDatum;monthly date;Zeit & Kalender
MonatsFenster;monthly window;Zeit & Kalender
JahresPlan;yearly plan;Zeit & Kalender
JahresTermin;yearly appointment;Zeit & Kalender
JahresKalender;yearly calendar;Zeit & Kalender
JahresBeginn;yearly start;Zeit & Kalender
JahresEnde;yearly end;Zeit & Kalender
JahresDauer;yearly duration;Zeit & Kalender
JahresFrist;yearly deadline;Zeit & Kalender
JahresRhythmus;yearly rhythm;Zeit & Kalender
JahresÜbersicht;yearly overview;Zeit & Kalender
JahresListe;yearly list;Zeit & Kalender
JahresZeit;yearly time;Zeit & Kalender
JahresPause;yearly break;Zeit & Kalender
JahresProgramm;yearly programme;Zeit & Kalender
JahresDatum;yearly date;Zeit & Kalender
JahresFenster;yearly window;Zeit & Kalender
MorgenPlan;morning plan;Zeit & Kalender
MorgenTermin;morning appointment;Zeit & Kalender
MorgenKalender;morning calendar;Zeit & Kalender
MorgenBeginn;morning start;Zeit & Kalender
MorgenEnde;morning end;Zeit & Kalender
MorgenDauer;morning duration;Zeit & Kalender
MorgenFrist;morning deadline;Zeit & Kalender
MorgenRhythmus;morning rhythm;Zeit & Kalender
MorgenÜbersicht;morning overview;Zeit & Kalender
MorgenListe;morning list;Zeit & Kalender
MorgenZeit;morning time;Zeit & Kalender
MorgenPause;morning break;Zeit & Kalender
MorgenProgramm;morning programme;Zeit & Kalender
MorgenDatum;morning date;Zeit & Kalender
MorgenFenster;morning window;Zeit & Kalender
AbendPlan;evening plan;Zeit & Kalender
AbendTermin;evening appointment;Zeit & Kalender
AbendKalender;evening calendar;Zeit & Kalender
AbendBeginn;evening start;Zeit & Kalender
AbendEnde;evening end;Zeit & Kalender
AbendDauer;evening duration;Zeit & Kalender
AbendFrist;evening deadline;Zeit & Kalender
AbendRhythmus;evening rhythm;Zeit & Kalender
AbendÜbersicht;evening overview;Zeit & Kalender
AbendListe;evening list;Zeit & Kalender
AbendZeit;evening time;Zeit & Kalender
AbendPause;evening break;Zeit & Kalender
AbendProgramm;evening programme;Zeit & Kalender
AbendDatum;evening date;Zeit & Kalender
AbendFenster;evening window;Zeit & Kalender
NachtPlan;night plan;Zeit & Kalender
NachtTermin;night appointment;Zeit & Kalender
NachtKalender;night calendar;Zeit & Kalender
NachtBeginn;night start;Zeit & Kalender
NachtEnde;night end;Zeit & Kalender
NachtDauer;night duration;Zeit & Kalender
NachtFrist;night deadline;Zeit & Kalender
NachtRhythmus;night rhythm;Zeit & Kalender
NachtÜbersicht;night overview;Zeit & Kalender
NachtListe;night list;Zeit & Kalender
NachtZeit;night time;Zeit & Kalender
NachtPause;night break;Zeit & Kalender
NachtProgramm;night programme;Zeit & Kalender
NachtDatum;night date;Zeit & Kalender
NachtFenster;night window;Zeit & Kalender
FerienPlan;holiday plan;Zeit & Kalender
FerienTermin;holiday appointment;Zeit & Kalender
FerienKalender;holiday calendar;Zeit & Kalender
FerienBeginn;holiday start;Zeit & Kalender
FerienEnde;holiday end;Zeit & Kalender
FerienDauer;holiday duration;Zeit & Kalender
FerienFrist;holiday deadline;Zeit & Kalender
FerienRhythmus;holiday rhythm;Zeit & Kalender
FerienÜbersicht;holiday overview;Zeit & Kalender
FerienListe;holiday list;Zeit & Kalender
FerienZeit;holiday time;Zeit & Kalender
FerienPause;holiday break;Zeit & Kalender
FerienProgramm;holiday programme;Zeit & Kalender
FerienDatum;holiday date;Zeit & Kalender
FerienFenster;holiday window;Zeit & Kalender
ArbeitsPlan;work plan;Zeit & Kalender
ArbeitsTermin;work appointment;Zeit & Kalender
ArbeitsKalender;work calendar;Zeit & Kalender
ArbeitsBeginn;work start;Zeit & Kalender
ArbeitsEnde;work end;Zeit & Kalender
ArbeitsDauer;work duration;Zeit & Kalender
ArbeitsFrist;work deadline;Zeit & Kalender
ArbeitsRhythmus;work rhythm;Zeit & Kalender
ArbeitsÜbersicht;work overview;Zeit & Kalender
ArbeitsListe;work list;Zeit & Kalender
ArbeitsZeit;work time;Zeit & Kalender
ArbeitsPause;work break;Zeit & Kalender
ArbeitsProgramm;work programme;Zeit & Kalender
ArbeitsDatum;work date;Zeit & Kalender
ArbeitsFenster;work window;Zeit & Kalender
SchulPlan;school plan;Zeit & Kalender
SchulTermin;school appointment;Zeit & Kalender
SchulKalender;school calendar;Zeit & Kalender
SchulBeginn;school start;Zeit & Kalender
SchulEnde;school end;Zeit & Kalender
SchulDauer;school duration;Zeit & Kalender
SchulFrist;school deadline;Zeit & Kalender
SchulRhythmus;school rhythm;Zeit & Kalender
SchulÜbersicht;school overview;Zeit & Kalender
SchulListe;school list;Zeit & Kalender
SchulZeit;school time;Zeit & Kalender
SchulPause;school break;Zeit & Kalender
SchulProgramm;school programme;Zeit & Kalender
SchulDatum;school date;Zeit & Kalender
SchulFenster;school window;Zeit & Kalender
SommerPlan;summer plan;Zeit & Kalender
SommerTermin;summer appointment;Zeit & Kalender
SommerKalender;summer calendar;Zeit & Kalender
SommerBeginn;summer start;Zeit & Kalender
SommerEnde;summer end;Zeit & Kalender
SommerDauer;summer duration;Zeit & Kalender
SommerFrist;summer deadline;Zeit & Kalender
SommerRhythmus;summer rhythm;Zeit & Kalender
SommerÜbersicht;summer overview;Zeit & Kalender
SommerListe;summer list;Zeit & Kalender
SommerZeit;summer time;Zeit & Kalender
SommerPause;summer break;Zeit & Kalender
SommerProgramm;summer programme;Zeit & Kalender
SommerDatum;summer date;Zeit & Kalender
